"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Este test verifica que se muestre el mensaje de error correspondiente cuando el campo nombre está vacío en el formulario de checkout","351","Verificar que se muestre un error al dejar campo de nombre vacío en el formulario de checkout","SauceDemo Suite","Sun May 10 03:24:48 UTC 2026","passed","Sun May 10 03:24:49 UTC 2026","com.nopcommerce.tests.CheckoutTest","Checkout Tests","com.nopcommerce.tests.CheckoutTest","testCheckoutFormEmptyFirstName"
"Este test verifica que el número de productos cargados en la página de inventario sea el esperado","9","Verificar que los productos se carguen en la página de inventario","SauceDemo Suite","Sun May 10 03:24:08 UTC 2026","passed","Sun May 10 03:24:08 UTC 2026","com.nopcommerce.tests.InventoryTest","Inventory Tests","com.nopcommerce.tests.InventoryTest","testProductCountIsSix"
"Este test verifica que la pagina del carrito se muestra correctamente despues de agregar productos al carrito","17","Verificar que la pagina del carrito cargo","SauceDemo Suite","Sun May 10 03:24:15 UTC 2026","passed","Sun May 10 03:24:15 UTC 2026","com.nopcommerce.tests.CartTest","Cart Tests","com.nopcommerce.tests.CartTest","testAddProductToCart"
"Este test verifica que se muestre el mensaje de error correspondiente cuando el campo código postal está vacío en el formulario de checkout","336","Verificar que se muestre un error al dejar campo de código postal vacío en el formulario de checkout","SauceDemo Suite","Sun May 10 03:25:02 UTC 2026","passed","Sun May 10 03:25:03 UTC 2026","com.nopcommerce.tests.CheckoutTest","Checkout Tests","com.nopcommerce.tests.CheckoutTest","testCheckoutFormEmptyPostalCode"
"Este test verifica que diferentes usuarios válidos puedan iniciar sesión exitosamente en la aplicación","3476","Login exitoso con diferentes usuarios válidos","SauceDemo Suite","Sun May 10 03:23:22 UTC 2026","passed","Sun May 10 03:23:25 UTC 2026","com.nopcommerce.tests.LoginTest","Login Tests","com.nopcommerce.tests.LoginTest","testSuccessfulLogin"
"Este test verifica que los productos se ordenen correctamente por precio de mayor a menor","120","Verificar filtro por precio de mayor a menor","SauceDemo Suite","Sun May 10 03:23:56 UTC 2026","passed","Sun May 10 03:23:56 UTC 2026","com.nopcommerce.tests.InventoryTest","Inventory Tests","com.nopcommerce.tests.InventoryTest","testFilterByPriceHighLow"
"Este test verifica que el usuario pueda completar correctamente el formulario de checkout con datos válidos y finalizar la orden exitosamente","10641","Verificar llenado del formulario de checkout","SauceDemo Suite","Sun May 10 03:25:09 UTC 2026","passed","Sun May 10 03:25:20 UTC 2026","com.nopcommerce.tests.CheckoutTest","Checkout Tests","com.nopcommerce.tests.CheckoutTest","testFillCheckoutForm"
"Este test verifica que diferentes usuarios válidos puedan iniciar sesión exitosamente en la aplicación","3427","Login exitoso con diferentes usuarios válidos","SauceDemo Suite","Sun May 10 03:23:35 UTC 2026","passed","Sun May 10 03:23:38 UTC 2026","com.nopcommerce.tests.LoginTest","Login Tests","com.nopcommerce.tests.LoginTest","testSuccessfulLogin"
"Este test verifica que un producto pueda eliminarse correctamente del carrito y que la cantidad de items se actualice","126","Verificar que se pueda eliminar un item del carrito","SauceDemo Suite","Sun May 10 03:24:41 UTC 2026","passed","Sun May 10 03:24:42 UTC 2026","com.nopcommerce.tests.CartTest","Cart Tests","com.nopcommerce.tests.CartTest","testRemoveItemFromCart"
"Este test verifica que los productos se ordenen correctamente de Z a A al aplicar el filtro correspondiente","119","Verificar filtro por nombre Z-A","SauceDemo Suite","Sun May 10 03:23:52 UTC 2026","passed","Sun May 10 03:23:52 UTC 2026","com.nopcommerce.tests.InventoryTest","Inventory Tests","com.nopcommerce.tests.InventoryTest","testFilterByNameZA"
